Genes,pathway
dcd,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)
dcd,pyrimidine deoxyribonucleotides de novo biosynthesis II
codA,salvage pathways of pyrimidine ribonucleotides
codA,pyrimidine ribonucleosides salvage III
codA,pyrimidine nucleobases salvage II
deoA,superpathway of pyrimidine deoxyribonucleosides degradation
deoA,salvage pathways of pyrimidine deoxyribonucleotides
deoA,pyrimidine deoxyribonucleosides degradation
nrdE,superpathway of adenosine nucleotides de novo biosynthesis II
nrdE,adenosine deoxyribonucleotides de novo biosynthesis II
nrdE,"superpathway of histidine, purine, and pyrimidine biosynthesis"
nrdE,superpathway of purine nucleotides de novo biosynthesis II
nrdE,superpathway of guanosine nucleotides de novo biosynthesis II
nrdE,guanosine deoxyribonucleotides de novo biosynthesis II
nrdE,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)
nrdE,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis
nrdE,pyrimidine deoxyribonucleotides de novo biosynthesis I
pfs,autoinducer AI-2 biosynthesis I
pfs,S-adenosyl-L-methionine cycle I
pfs,S-methyl-5'-thioadenosine degradation IV
nrdA,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)
nrdA,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis
nrdA,pyrimidine deoxyribonucleotides de novo biosynthesis I
nrdA,superpathway of adenosine nucleotides de novo biosynthesis II
nrdA,adenosine deoxyribonucleotides de novo biosynthesis II
nrdA,"superpathway of histidine, purine, and pyrimidine biosynthesis"
nrdA,superpathway of purine nucleotides de novo biosynthesis II
nrdA,superpathway of guanosine nucleotides de novo biosynthesis II
nrdA,guanosine deoxyribonucleotides de novo biosynthesis II
cdd,superpathway of pyrimidine ribonucleosides salvage
cdd,pyrimidine ribonucleosides degradation
cdd,salvage pathways of pyrimidine ribonucleotides
cdd,pyrimidine ribonucleosides salvage II
cdd,pyrimidine ribonucleosides salvage I
cdd,superpathway of pyrimidine deoxyribonucleosides degradation
cdd,salvage pathways of pyrimidine deoxyribonucleotides
cdd,pyrimidine deoxyribonucleosides degradation
ycjS,D-gulosides conversion to D-glucosides
tmk,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)
tmk,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis
tmk,pyrimidine deoxyribonucleotides de novo biosynthesis I
tmk,pyrimidine deoxyribonucleotide phosphorylation
tmk,pyrimidine deoxyribonucleotides de novo biosynthesis II
ybgT,succinate to cytochrome bd oxidase electron transfer
ybgT,NADH to cytochrome bd oxidase electron transfer II
ybgT,pyruvate to cytochrome bd oxidase electron transfer
ybgT,NADH to cytochrome bd oxidase electron transfer I
amn,adenosine nucleotides degradation III
aphA,guanosine nucleotides degradation III
napA,guanosine nucleotides degradation III
aphA,adenosine nucleotides degradation II
napA,adenosine nucleotides degradation II
spoT,ppGpp metabolism
fumD,"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass"
fumD,superpathway of glyoxylate bypass and TCA
fumD,TCA cycle I (prokaryotic)
fumD,mixed acid fermentation
gpp,ppGpp metabolism
fruK,fructose degradation
pyrH,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis
pyrH,"superpathway of histidine, purine, and pyrimidine biosynthesis"
pyrH,superpathway of pyrimidine ribonucleotides de novo biosynthesis
pyrH,superpathway of pyrimidine ribonucleosides salvage
pyrH,superpathway of pyrimidine nucleobases salvage
pyrH,UTP and CTP de novo biosynthesis
gabT,superpathway of L-arginine and L-ornithine degradation
gabT,"superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation"
gabT,superpathway of 4-aminobutanoate degradation
gabT,4-aminobutanoate degradation II
gabT,L-lysine degradation I
gabT,superpathway of arginine and polyamine biosynthesis
gabT,L-arginine biosynthesis I (via L-ornithine)
gabT,L-ornithine biosynthesis I
gabD,superpathway of L-arginine and L-ornithine degradation
gabD,"superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation"
gabD,superpathway of 4-aminobutanoate degradation
gabD,4-aminobutanoate degradation II
gabD,L-lysine degradation I
tdcD,superpathway of L-threonine metabolism
tdcD,L-threonine degradation I
talB,pentose phosphate pathway
talB,pentose phosphate pathway (non-oxidative branch)
talA,pentose phosphate pathway
talA,pentose phosphate pathway (non-oxidative branch)
pdxY,superpathway of pyridoxal 5'-phosphate biosynthesis and salvage
pdxY,pyridoxal 5'-phosphate salvage I
pdxK,superpathway of pyridoxal 5'-phosphate biosynthesis and salvage
pdxK,pyridoxal 5'-phosphate salvage I
pdxK,thiamine diphosphate salvage II
pdxK,hydroxymethylpyrimidine salvage
yeiN,pseudouridine degradation
allD,allantoin degradation IV (anaerobic)
allB,allantoin degradation to glyoxylate III
allB,allantoin degradation IV (anaerobic)
allB,allantoin degradation to ureidoglycolate II (ammonia producing)
ylbA,allantoin degradation to glyoxylate III
ylbA,allantoin degradation IV (anaerobic)
ylbA,allantoin degradation to ureidoglycolate II (ammonia producing)
allC,allantoin degradation to glyoxylate III
allC,allantoin degradation IV (anaerobic)
allC,allantoin degradation to ureidoglycolate II (ammonia producing)
allA,allantoin degradation to glyoxylate III
glcE,superpathway of glycol metabolism and degradation
glcE,glycolate and glyoxylate degradation II
glcE,glycolate and glyoxylate degradation I
yiiL,superpathway of fucose and rhamnose degradation
yiiL,L-rhamnose degradation I
glcD,superpathway of glycol metabolism and degradation
glcD,glycolate and glyoxylate degradation II
glcD,glycolate and glyoxylate degradation I
ulaG,"L-ascorbate degradation I (bacterial, anaerobic)"
glcF,superpathway of glycol metabolism and degradation
glcF,glycolate and glyoxylate degradation II
glcF,glycolate and glyoxylate degradation I
cynS,cyanate degradation
cynT,cyanate degradation
ycbL,superpathway of methylglyoxal degradation
ycbL,methylglyoxal degradation I
yeaE,superpathway of methylglyoxal degradation
yeaE,methylglyoxal degradation III
eutI,superpathway of acetate utilization and formation
eutI,acetate and ATP formation from acetyl-CoA I
eutI,mixed acid fermentation
eutI,ethanolamine utilization
gloA,superpathway of methylglyoxal degradation
gloA,methylglyoxal degradation I
deoD,superpathway of guanine and guanosine salvage
deoD,guanine and guanosine salvage
deoD,guanosine nucleotides degradation III
deoD,adenosine nucleotides degradation II
deoD,adenine and adenosine salvage III
deoD,adenine and adenosine salvage V
deoD,purine ribonucleosides degradation
deoD,superpathway of purine deoxyribonucleosides degradation
deoD,purine deoxyribonucleosides degradation I
gloB,superpathway of methylglyoxal degradation
gloB,methylglyoxal degradation I
caiD,L-carnitine degradation I
caiB,L-carnitine degradation I
gcl,superpathway of glycol metabolism and degradation
gcl,glycolate and glyoxylate degradation I
metK,S-adenosyl-L-methionine cycle I
metK,aspartate superpathway
metK,superpathway of S-adenosyl-L-methionine biosynthesis
metK,S-adenosyl-L-methionine biosynthesis
aceA,"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass"
aceA,superpathway of glyoxylate bypass and TCA
aceA,glyoxylate cycle
aceB,"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass"
aceB,superpathway of glyoxylate bypass and TCA
aceB,glyoxylate cycle
yneH,L-glutamine degradation I
yihX,glucose and glucose-1-phosphate degradation
ymfB,prenylated FMNH<sub>2</sub> biosynthesis
yfaO,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)
yfaO,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis
yfaO,pyrimidine deoxyribonucleotides de novo biosynthesis I
yfaO,pyrimidine deoxyribonucleotides de novo biosynthesis II
yfaO,pyrimidine deoxyribonucleotides dephosphorylation
betA,glycine betaine biosynthesis I (Gram-negative bacteria)
betB,glycine betaine biosynthesis I (Gram-negative bacteria)
thyA,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)
thyA,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis
thyA,pyrimidine deoxyribonucleotides de novo biosynthesis II
thyA,pyrimidine deoxyribonucleotides de novo biosynthesis I
thyA,folate transformations III (E. coli)
metF,folate transformations III (E. coli)
nrdD,superpathway of adenosine nucleotides de novo biosynthesis II
nrdD,adenosine deoxyribonucleotides de novo biosynthesis II
nrdD,"superpathway of histidine, purine, and pyrimidine biosynthesis"
nrdD,superpathway of purine nucleotides de novo biosynthesis II
nrdD,superpathway of guanosine nucleotides de novo biosynthesis II
nrdD,guanosine deoxyribonucleotides de novo biosynthesis II
nrdD,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)
nrdD,pyrimidine deoxyribonucleotides de novo biosynthesis II
speC,superpathway of arginine and polyamine biosynthesis
speC,superpathway of polyamine biosynthesis I
speC,putrescine biosynthesis III
yaiE,superpathway of guanine and guanosine salvage
yaiE,guanine and guanosine salvage
yaiE,guanosine nucleotides degradation III
yaiE,superpathway of pyrimidine deoxyribonucleosides degradation
yaiE,salvage pathways of pyrimidine deoxyribonucleotides
yaiE,pyrimidine deoxyribonucleosides degradation
yaiE,pyrimidine ribonucleosides degradation
yaiE,salvage pathways of pyrimidine ribonucleotides
yaiE,xanthine and xanthosine salvage
yaiE,adenosine nucleotides degradation II
yaiE,adenine and adenosine salvage III
yaiE,adenine and adenosine salvage V
yaiE,purine ribonucleosides degradation
gss,glutathionylspermidine biosynthesis
nudF,prenylated FMNH<sub>2</sub> biosynthesis
speD,superpathway of arginine and polyamine biosynthesis
speD,superpathway of polyamine biosynthesis I
speD,spermidine biosynthesis I
yiaY,superpathway of L-threonine metabolism
yiaY,L-threonine degradation III (to methylglyoxal)
yiaY,L-threonine degradation II
speA,superpathway of arginine and polyamine biosynthesis
speA,superpathway of polyamine biosynthesis I
speA,L-arginine degradation III (arginine decarboxylase/agmatinase pathway)
